Num,Gender,Age,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level
26,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
27,Girl,1月5日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
28,Boy,26-30,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,3月6日,No,Computer,Moderate
29,Girl,1月5日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
30,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,3月6日,No,Mobile,Moderate
31,Girl,6月10日,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
32,Girl,16-20,College,Non Government,No,No,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Low
33,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
34,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Moderate
35,Boy,11月15日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Low
36,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3月6日,Yes,Mobile,Moderate
37,Girl,21-25,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
38,Girl,6月10日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,High
39,Girl,26-30,University,Government,No,No,Low,Poor,Mobile Data,4G,1月3日,No,Mobile,Low
40,Girl,11月15日,School,Government,No,Yes,Low,Mid,Wifi,3G,1月3日,No,Mobile,Low
41,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3月6日,Yes,Computer,Moderate
42,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1月3日,Yes,Mobile,Moderate
43,Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
44,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
45,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3月6日,Yes,Computer,Low
46,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1月3日,No,Computer,Moderate
47,Girl,1月5日,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1月3日,No,Mobile,Moderate
48,Girl,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
49,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
50,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3月6日,Yes,Computer,Low
51,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
52,Girl,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
53,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
54,Boy,26-30,University,Government,Yes,No,Low,Poor,Mobile Data,4G,1月3日,No,Mobile,Moderate
55,Boy,1月5日,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1月3日,No,Mobile,Low
56,Girl,1月5日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
57,Boy,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
58,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Low
59,Girl,11月15日,School,Non Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,Low
60,Boy,16-20,School,Government,No,No,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
61,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3月6日,No,Mobile,Moderate
62,Boy,21-25,College,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
63,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
64,Boy,11月15日,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
65,Boy,11月15日,School,Non Government,No,Yes,High,Poor,Wifi,4G,1月3日,No,Mobile,Low
66,Boy,26-30,University,Government,No,No,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,High
67,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
68,Girl,6月10日,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
69,Girl,11月15日,School,Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
70,Boy,11月15日,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
71,Boy,21-25,College,Government,No,No,High,Poor,Mobile Data,3G,1月3日,Yes,Mobile,Low
72,Girl,16-20,College,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
73,Boy,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
74,Girl,11月15日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Low
75,Boy,11月15日,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
76,Girl,6月10日,School,Non Government,No,Yes,Low,Mid,Mobile Data,2G,1月3日,No,Mobile,Low
77,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
78,Girl,21-25,College,Government,No,No,High,Mid,Mobile Data,4G,0,No,Mobile,Low
79,Girl,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,3月6日,No,Mobile,Moderate
80,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
81,Boy,11月15日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Low
82,Girl,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,3月6日,No,Mobile,Moderate
83,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1月3日,No,Computer,Moderate
84,Girl,11月15日,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
85,Girl,1月5日,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1月3日,No,Mobile,Moderate
86,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
87,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,High
88,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1月3日,Yes,Mobile,Moderate
89,Boy,11月15日,School,Non Government,No,Yes,High,Mid,Wifi,4G,1月3日,No,Mobile,Moderate
90,Boy,26-30,University,Government,No,No,Low,Poor,Mobile Data,4G,0,No,Mobile,Low
91,Boy,21-25,University,Non Government,No,No,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
92,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,3月6日,Yes,Computer,Moderate
93,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3月6日,Yes,Computer,Moderate
94,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Mobile Data,3G,1月3日,Yes,Mobile,Low
95,Girl,1月5日,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1月3日,No,Mobile,Moderate
96,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1月3日,No,Computer,Moderate
97,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
98,Girl,11月15日,School,Government,No,No,High,Poor,Mobile Data,2G,1月3日,No,Mobile,Low
99,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1月3日,Yes,Mobile,Moderate
100,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
101,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low
102,Girl,11月15日,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Computer,Moderate
103,Girl,16-20,College,Non Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,Low
104,Boy,11月15日,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
105,Girl,1月5日,School,Non Government,No,Yes,Low,Poor,Wifi,4G,1月3日,No,Mobile,Moderate
106,Boy,11月15日,School,Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Computer,Moderate
107,Girl,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
108,Girl,11月15日,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Computer,Moderate
109,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3月6日,No,Tab,Moderate
110,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3G,1月3日,Yes,Mobile,High
111,Boy,6月10日,School,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
112,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
113,Boy,11月15日,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
114,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
115,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,3月6日,No,Mobile,Moderate
116,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3月6日,Yes,Computer,Moderate
117,Boy,26-30,University,Government,Yes,Yes,Low,Mid,Wifi,4G,0,No,Computer,Low
118,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Wifi,4G,3月6日,Yes,Computer,Low
119,Boy,16-20,College,Government,No,No,High,Poor,Mobile Data,3G,1月3日,No,Mobile,Moderate
120,Girl,21-25,University,Non Government,Yes,No,Low,Mid,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
121,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,3月6日,No,Computer,Moderate
122,Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
123,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
124,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
125,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1月3日,Yes,Computer,Moderate
126,Girl,11月15日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Low
127,Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Low
128,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,3月6日,No,Mobile,Moderate
129,Girl,11月15日,School,Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
130,Boy,21-25,University,Non Government,Yes,Yes,Low,Rich,Wifi,4G,1月3日,Yes,Computer,High
131,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3月6日,Yes,Mobile,Moderate
132,Boy,21-25,University,Government,Yes,No,High,Mid,Mobile Data,3G,1月3日,No,Mobile,Low
133,Boy,21-25,University,Non Government,Yes,No,High,Mid,Mobile Data,3G,3月6日,Yes,Mobile,High
134,Boy,16-20,College,Government,No,Yes,Low,Poor,Mobile Data,4G,1月3日,No,Mobile,Low
135,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
136,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Wifi,4G,3月6日,No,Computer,Low
137,Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
138,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
139,Girl,1月5日,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1月3日,No,Mobile,Moderate
140,Girl,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
141,Girl,11月15日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Low
142,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
143,Girl,11月15日,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
144,Girl,16-20,College,Non Government,No,No,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
145,Boy,21-25,University,Government,No,No,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Low
146,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3月6日,No,Computer,Moderate
147,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,3G,3月6日,No,Computer,Moderate
148,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low
149,Girl,21-25,University,Non Government,No,Yes,High,Poor,Wifi,4G,3月6日,No,Mobile,Low
150,Girl,21-25,University,Government,No,No,Low,Mid,Mobile Data,2G,1月3日,No,Mobile,Low
151,Girl,1月5日,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1月3日,No,Mobile,Moderate
152,Boy,16-20,College,Government,No,No,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
153,Boy,11月15日,School,Non Government,No,Yes,Low,Rich,Mobile Data,4G,1月3日,No,Mobile,High
154,Boy,6月10日,School,Non Government,No,Yes,Low,Rich,Wifi,4G,1月3日,No,Mobile,Moderate
155,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,3月6日,No,Computer,Low
156,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Computer,Low
157,Boy,1月5日,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1月3日,No,Mobile,Low
158,Boy,26-30,University,Government,Yes,Yes,Low,Rich,Wifi,4G,1月3日,No,Computer,High
159,Girl,1月5日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
160,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,1月3日,Yes,Computer,Moderate
161,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,1月3日,Yes,Mobile,Low
162,Boy,21-25,University,Non Government,Yes,No,High,Mid,Mobile Data,3G,3月6日,Yes,Mobile,High
163,Boy,16-20,University,Government,No,No,Low,Poor,Mobile Data,4G,1月3日,No,Mobile,Moderate
164,Boy,6月10日,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
165,Girl,16-20,College,Government,No,No,High,Poor,Mobile Data,4G,0,No,Mobile,Low
166,Girl,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
167,Boy,21-25,College,Government,No,No,High,Poor,Mobile Data,3G,1月3日,Yes,Mobile,Low
168,Boy,26-30,University,Government,No,No,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,High
169,Girl,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
170,Boy,16-20,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,1月3日,Yes,Mobile,Low
171,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,1月3日,Yes,Computer,Moderate
172,Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
173,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,1月3日,No,Mobile,Low
174,Boy,21-25,University,Non Government,Yes,Yes,Low,Rich,Wifi,4G,1月3日,Yes,Computer,High
175,Boy,11月15日,School,Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
176,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,3月6日,No,Computer,Low
177,Girl,11月15日,School,Non Government,No,Yes,Low,Poor,Wifi,3G,1月3日,No,Mobile,Moderate
178,Boy,16-20,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,1月3日,Yes,Mobile,Low
179,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Low
180,Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
181,Boy,11月15日,School,Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Computer,Moderate
182,Boy,1月5日,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
183,Girl,1月5日,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Moderate
184,Girl,21-25,University,Non Government,No,Yes,Low,Rich,Wifi,4G,3月6日,No,Computer,Moderate
185,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
186,Boy,11月15日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Low
187,Girl,11月15日,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
188,Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Low
189,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
190,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3月6日,No,Tab,Moderate
191,Boy,11月15日,School,Non Government,No,Yes,High,Poor,Wifi,4G,1月3日,No,Mobile,Low
192,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
193,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
194,Boy,16-20,School,Government,No,No,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
195,Girl,16-20,College,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
196,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,1月3日,Yes,Mobile,Low
197,Boy,16-20,College,Government,No,Yes,Low,Poor,Mobile Data,4G,1月3日,No,Mobile,Low
198,Boy,11月15日,School,Non Government,Yes,Yes,Low,Poor,Mobile Data,4G,1月3日,No,Mobile,Moderate
199,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
200,Girl,11月15日,School,Government,No,Yes,Low,Mid,Wifi,3G,1月3日,No,Mobile,Low
201,Boy,6月10日,School,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
202,Boy,11月15日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Low
203,Boy,11月15日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Low
204,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1月3日,Yes,Mobile,Moderate
205,Boy,11月15日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Low
206,Boy,11月15日,School,Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,High
207,Boy,26-30,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,3月6日,No,Computer,Moderate
208,Boy,11月15日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Low
209,Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
210,Girl,21-25,University,Non Government,Yes,Yes,High,Mid,Wifi,3G,3月6日,Yes,Mobile,Low
211,Girl,11月15日,School,Government,No,No,High,Poor,Mobile Data,2G,1月3日,No,Mobile,Low
212,Girl,16-20,School,Government,No,No,Low,Rich,Mobile Data,4G,1月3日,No,Mobile,High
213,Girl,16-20,College,Government,No,No,High,Mid,Mobile Data,3G,1月3日,No,Mobile,Low
214,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,3月6日,No,Computer,Moderate
215,Girl,21-25,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
216,Boy,16-20,School,Government,No,Yes,Low,Rich,Mobile Data,4G,1月3日,No,Mobile,Moderate
217,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
218,Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
219,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,3G,3月6日,No,Mobile,Low
220,Boy,11月15日,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
221,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3月6日,Yes,Computer,Moderate
222,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,3月6日,No,Mobile,Moderate
223,Girl,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
224,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
225,Girl,21-25,University,Non Government,No,No,Low,Mid,Wifi,4G,0,No,Mobile,Low
226,Girl,11月15日,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
227,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
228,Boy,1月5日,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1月3日,No,Mobile,Low
229,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1月3日,No,Mobile,Moderate
230,Girl,11月15日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Moderate
231,Girl,11月15日,School,Non Government,No,Yes,Low,Poor,Wifi,3G,1月3日,No,Mobile,Moderate
232,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1月3日,Yes,Mobile,Moderate
233,Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low
234,Boy,11月15日,School,Government,No,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,High
235,Boy,21-25,University,Non Government,Yes,No,Low,Mid,Wifi,4G,3月6日,Yes,Computer,Moderate
236,Boy,21-25,University,Non Government,Yes,No,High,Poor,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
237,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3月6日,No,Computer,Moderate
238,Girl,26-30,University,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
239,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,2G,3月6日,No,Mobile,Moderate
240,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1月3日,No,Mobile,Low
241,Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Low
242,Boy,11月15日,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1月3日,No,Mobile,Moderate
243,Girl,11月15日,School,Government,No,Yes,Low,Rich,Wifi,4G,1月3日,No,Mobile,Moderate
244,Girl,16-20,College,Non Government,No,No,High,Mid,Wifi,4G,3月6日,No,Mobile,Moderate
245,Girl,11月15日,School,Non Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,Low
246,Girl,1月5日,School,Non Government,No,Yes,Low,Poor,Wifi,4G,1月3日,No,Mobile,Moderate
247,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3月6日,Yes,Computer,Moderate
248,Boy,11月15日,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1月3日,No,Mobile,Low
249,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
250,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
251,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3月6日,No,Computer,Moderate
252,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,4G,1月3日,No,Mobile,Low
